ESTADO,SCORE_ADVANCE,EXPERIENCIA_SF,BGI60_12,NUMCUENTASINBB,ANTIGUEDADMAXIMAPASIVOS,MAXIMAANTIGUEDADCTASABIERTAS,NUMSUSCRIPTORSECTORFINAN,MAXIATRASOU12MSECREAL,MAXANTIGCARTERASCERRADASU12M,MINIMAANTIGUEDADCTASCERRADAS,ANTIGUEDADMAXIMACREDITO,CONTMORA30SECREALU12M,VLR_COUTA_DATACREDITO,PORCENTAJEDECUENTASALDIA,VTAR_PROMEDIOLIMITES,VREAL_SUMASALDOACTUAL,VPRO_ENDSISTEMASINBB
b'APROBADO',564.0,b'Cliente Con Experiencia',1.0,7.0,47.0,14.0,1.0,6.0,-999.0,-999.0,14.0,0.0,0.0,100.0,100000.0,0.0,20000.0
b'APROBADO',771.0,b'Cliente Sin Experiencia',1.0,2.0,52.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,710000.0,100.0,0.0,13618000.0,-999.0
b'APROBADO',658.0,b'Cliente Sin Experiencia',0.0,1.0,21.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,37000.0,100.0,0.0,75000.0,-999.0
b'APROBADO',0.0,b'Cliente Sin Experiencia',0.0,0.0,42.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,,100.0,0.0,-999.0,-999.0
b'APROBADO',677.0,b'Cliente Sin Experiencia',1.0,2.0,14.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,44000.0,100.0,0.0,0.0,-999.0
b'APROBADO',657.0,b'Cliente Sin Experiencia',0.0,2.0,48.0,9.0,1.0,0.0,-999.0,-999.0,9.0,0.0,173000.0,100.0,900000.0,0.0,618400.0
b'APROBADO',716.0,b'Cliente Con Experiencia',0.0,5.0,44.0,48.0,2.0,0.0,37.0,1.0,1.0,0.0,523000.0,100.0,0.0,0.0,7517000.0
b'APROBADO',904.0,b'Cliente Con Experiencia',0.0,0.0,47.0,17.0,2.0,0.0,23.0,10.0,33.0,0.0,137000.0,100.0,15850000.0,0.0,6650400.0
b'APROBADO',719.0,b'Cliente Sin Experiencia',0.0,2.0,27.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,,100.0,0.0,0.0,-999.0
b'APROBADO',683.0,b'Cliente Sin Experiencia',1.0,9.0,27.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,86000.0,100.0,0.0,43000.0,-999.0
b'APROBADO',678.0,b'Cliente Con Experiencia',1.0,2.0,18.0,15.0,1.0,0.0,-999.0,-999.0,15.0,0.0,0.0,100.0,100000.0,68000.0,20000.0
b'APROBADO',639.0,b'Cliente Sin Experiencia',0.0,3.0,22.0,3.0,1.0,0.0,-999.0,-999.0,3.0,0.0,454000.0,100.0,1000000.0,1519000.0,935200.0
b'APROBADO',643.0,b'Cliente Con Experiencia',0.0,5.0,46.0,25.0,1.0,0.0,-999.0,-999.0,25.0,0.0,636000.0,100.0,1500000.0,37000.0,1280800.0
b'APROBADO',554.0,b'Cliente Sin Experiencia',1.0,3.0,54.0,8.0,2.0,0.0,-999.0,46.0,50.0,0.0,0.0,100.0,500000.0,0.0,827200.0
b'APROBADO',719.0,b'Cliente Sin Experiencia',0.0,4.0,27.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,37000.0,100.0,0.0,0.0,-999.0
b'APROBADO',658.0,b'Cliente Sin Experiencia',0.0,2.0,22.0,-999.0,-999.0,0.0,-999.0,-999.0,9.0,0.0,,100.0,0.0,0.0,0.0
